time_s,mass_kg
0.0000e+00,6.1180e-02
5.9880e+00,6.1180e-02
1.1997e+01,6.1180e-02
1.7981e+01,6.1180e-02
2.3995e+01,6.1180e-02
2.9983e+01,6.1180e-02
3.5986e+01,6.1180e-02
4.1999e+01,6.1180e-02
4.7992e+01,6.1180e-02
5.3991e+01,6.1180e-02
5.9988e+01,6.1180e-02
6.5992e+01,6.1180e-02
7.1997e+01,6.1180e-02
7.7996e+01,6.1179e-02
8.3994e+01,6.1176e-02
8.9995e+01,6.1168e-02
9.5994e+01,6.1154e-02
1.0200e+02,6.1138e-02
1.0800e+02,6.1120e-02
1.1399e+02,6.1099e-02
1.2000e+02,6.1075e-02
1.2599e+02,6.1049e-02
1.3199e+02,6.1020e-02
1.3800e+02,6.0987e-02
1.4400e+02,6.0951e-02
1.5000e+02,6.0912e-02
1.5600e+02,6.0871e-02
1.6199e+02,6.0827e-02
1.6800e+02,6.0785e-02
1.7400e+02,6.0737e-02
1.7999e+02,6.0689e-02
1.8599e+02,6.0632e-02
1.9199e+02,6.0577e-02
1.9800e+02,6.0523e-02
2.0399e+02,6.0465e-02
2.1000e+02,6.0402e-02
2.1600e+02,6.0338e-02
2.2200e+02,6.0274e-02
2.2799e+02,6.0203e-02
2.3399e+02,6.0137e-02
2.4000e+02,6.0070e-02
2.4599e+02,6.0000e-02
2.5200e+02,5.9925e-02
2.5799e+02,5.9856e-02
2.6399e+02,5.9783e-02
2.6999e+02,5.9703e-02
2.7599e+02,5.9623e-02
2.8199e+02,5.9541e-02
2.8799e+02,5.9454e-02
2.9399e+02,5.9369e-02
3.0000e+02,5.9280e-02
3.0599e+02,5.9184e-02
3.1199e+02,5.9084e-02
3.1798e+02,5.8980e-02
3.2399e+02,5.8869e-02
3.3000e+02,5.8764e-02
3.3598e+02,5.8648e-02
3.4199e+02,5.8521e-02
3.4799e+02,5.8403e-02
3.5398e+02,5.8294e-02
3.5999e+02,5.8173e-02
3.6599e+02,5.8049e-02
3.7198e+02,5.7914e-02
3.7798e+02,5.7783e-02
3.8398e+02,5.7647e-02
3.8999e+02,5.7509e-02
3.9599e+02,5.7369e-02
4.0198e+02,5.7219e-02
4.0800e+02,5.7066e-02
4.1400e+02,5.6911e-02
4.1999e+02,5.6734e-02
4.2599e+02,5.6544e-02
4.3198e+02,5.6345e-02
4.3800e+02,5.6119e-02
4.4399e+02,5.5878e-02
4.4999e+02,5.5635e-02
4.5598e+02,5.5329e-02
4.6200e+02,5.4991e-02
4.6799e+02,5.4632e-02
4.7399e+02,5.4188e-02
4.7999e+02,5.3669e-02
4.8600e+02,5.2961e-02
4.9199e+02,5.2086e-02
4.9799e+02,5.1119e-02
5.0398e+02,5.0091e-02
5.1000e+02,4.8859e-02
5.1600e+02,4.7253e-02
5.2198e+02,4.5422e-02
5.2799e+02,4.3617e-02
5.3400e+02,4.1661e-02
5.3999e+02,3.9329e-02
5.4600e+02,3.6831e-02
5.5200e+02,3.4412e-02
5.5799e+02,3.1955e-02
5.6400e+02,2.9303e-02
5.6999e+02,2.6345e-02
5.7600e+02,2.3294e-02
5.8200e+02,2.0335e-02
5.8799e+02,1.7667e-02
5.9400e+02,1.5147e-02
5.9999e+02,1.2793e-02
